,Lat,Long
0,42.33102946,-71.08618278
11,42.31920052,-71.07103601
19,42.35637531,-71.06213513
28,42.31424363,-71.06258627
36,42.30177104,-71.05104876
44,42.31021459,-71.10508540000002
52,42.27732507,-71.09483139
67,42.33729692,-71.07919582
77,42.34746241,-71.09826597
89,42.34091586,-71.08771531
99,42.35185194,-71.07334626
107,42.28728494,-71.15306857
117,42.32872589,-71.08382217
129,42.3523119,-71.06370509999998
137,42.27990988,-71.06593996
147,42.28414025,-71.09305138
156,42.28804798,-71.07766654
166,42.31224327,-71.07549901
174,42.351987,-71.16510001
188,42.3219484,-71.08138427
200,42.30910324,-71.06259482
210,42.31538436,-71.09870021
220,42.36671964,-71.03908712
228,42.27065695,-71.09377841
238,42.28115946,-71.07911125
247,42.33152148,-71.07085307
255,42.26713531,-71.11236876
264,42.25615863,-71.13075198
273,42.34060371,-71.08174185
291,42.23604809,-71.131313
299,42.33367922,-71.09187755
307,42.33511904,-71.0749171
317,42.33110131,-71.10870352
327,42.33265906,-71.05141632
336,42.35152813,-71.06248241
344,42.33760719,-71.07825820000002
352,42.31989006,-71.07626209
360,42.30344978,-71.0715395
368,42.35427162,-71.06838613
377,42.31814836,-71.06708346
391,42.30225172,-71.07935688
399,42.30775024,-71.08273084
411,42.31580044,-71.06052053
424,42.33367922,-71.09187755
432,42.35637531,-71.06213513
441,42.27796370000001,-71.09246318
449,42.29057504,-71.07165726
457,42.34583312,-71.09845531
469,42.34568023,-71.15074209
480,42.30854728,-71.05821219
488,42.31195475,-71.07871912
508,42.32082221,-71.09731506
517,42.32696802,-71.08051941
527,42.36240281,-71.06954652
535,42.31525538,-71.1022823
544,42.28636893,-71.13005503
553,42.351153,-71.08161374
564,42.31433402,-71.09791405
577,42.30956305,-71.08990197
